lines, score, moves
0,211,20
0,252,22
0,250,19
0,238,21
0,208,19
0,304,26
0,189,17
0,247,20
0,301,26
0,218,19
0,244,19
0,288,25
0,275,25
0,244,22
0,299,27
0,295,24
0,186,17
0,282,25
0,274,22
0,186,17
0,276,22
0,240,19
0,202,19
0,239,20
0,323,26
0,296,24
0,283,24
0,300,25
0,282,21
0,258,23
0,288,22
0,291,25
0,263,20
0,188,17
0,257,22
0,278,22
0,225,20
0,330,28
0,294,27
0,303,28
0,252,19
0,250,20
0,264,23
0,281,28
0,206,16
0,271,21
0,276,23
0,300,24
0,278,21
0,217,20
0,268,21
0,281,25
0,292,28
0,286,24
0,275,25
0,241,23
0,283,22
0,265,24
0,322,25
0,327,26
0,244,24
0,279,22
0,235,18
0,213,19
0,247,19
0,268,24
0,338,30
0,264,24
0,274,22
0,262,23
0,258,22
0,287,24
0,288,24
0,272,21
0,214,19
0,335,29
0,149,13
0,288,24
0,264,21
0,244,24
0,267,21
0,268,25
0,243,19
0,243,21
0,273,24
0,232,19
0,257,21
0,238,20
0,237,24
0,276,24
0,316,25
0,250,21
0,301,26
0,287,23
0,271,23
0,279,26
0,272,26
0,308,27
0,335,28
0,225,20
0,307,29
0,310,25
1,354,26
0,264,23
0,237,19
0,273,24
0,305,26
0,248,21
0,254,23
0,261,24
0,265,23
0,271,23
0,339,29
0,294,25
0,291,26
0,299,24
0,216,18
0,284,25
0,285,25
0,325,24
0,278,26
0,238,21
0,271,26
0,243,21
0,231,23
0,234,22
0,374,32
0,374,33
0,289,26
0,270,24
0,268,24
0,237,21
0,261,23
0,302,27
0,255,24
0,270,22
0,240,19
0,310,25
0,280,24
0,275,24
0,274,21
0,226,20
0,260,20
0,260,23
0,309,26
0,280,23
0,247,19
0,286,25
0,249,19
0,291,25
0,311,26
0,308,25
0,298,25
0,232,20
0,254,22
0,280,24
0,316,26
0,305,25
0,202,18
0,287,23
0,282,25
0,204,18
0,216,19
0,269,23
0,281,25
0,294,25
0,308,26
0,260,21
0,307,26
0,283,24
0,145,14
0,276,22
0,230,18
0,278,26
0,247,22
0,286,26
0,250,24
0,274,21
0,281,24
0,290,25
0,286,23
0,257,24
0,293,23
0,266,21
0,262,22
0,263,21
0,213,19
0,239,22
0,284,23
0,274,25
0,228,19
0,276,23
0,231,21
0,295,24
0,312,26
0,247,23
0,317,26
0,327,26
0,288,25
0,304,26
0,220,19
0,259,20
1,331,27
0,263,23
0,246,19
0,293,23
0,336,27
0,314,27
0,327,26
0,282,23
0,313,24
0,299,25
0,248,25
1,384,29
0,244,19
0,279,23
0,273,24
0,309,28
0,237,19
0,313,26
0,338,29
0,276,22
0,309,28
0,245,21
0,258,24
0,238,19
0,259,20
0,289,24
0,261,20
0,231,20
0,192,20
0,327,29
0,298,23
0,295,24
0,303,25
0,234,19
0,245,21
0,291,23
0,288,22
0,267,22
0,290,23
0,209,19
0,354,30
0,282,24
0,290,25
0,256,21
0,219,21
1,362,29
0,338,28
0,268,23
0,335,28
0,271,25
0,247,23
0,273,24
0,314,26
0,330,27
0,240,20
0,322,28
0,283,23
0,317,25
1,310,21
0,269,20
0,251,20
0,293,26
0,280,22
0,314,29
0,205,19
